"","hexid","variable","est","totpop","share","acc60","cum_pop","cum_acc"
"123",12702,"B03002_004",0,0.223733443266653,0,0,0,0
"124",1271,"B03002_004",0,0.569272923827283,0,0,0,0
"125",12716,"B03002_004",0,3.1076738891691,0,0,0,0
"126",12717,"B03002_004",0,14.3146561469693,0,0,0,0
"127",12718,"B03002_004",0,2.02210271916402,0,0,0,0
"128",12780,"B03002_004",0,21.9393665165786,0,0,0,0
"129",12781,"B03002_004",0,21.9393665165786,0,0,0,0
"130",12782,"B03002_004",0,2.83970697710926,0,0,0,0
"131",1280,"B03002_004",0,359.01850063426,0,0,0,0
"132",12855,"B03002_004",0,21.9393665165805,0,0,0,0
"133",12856,"B03002_004",0,7.02628983088989,0,0,0,0
"134",12925,"B03002_004",0,11.5067113535307,0,0,0,0
"135",1293,"B03002_004",0,730.727787453727,0,0,0,0
"136",1294,"B03002_004",0,242.546909645645,0,0,0,0
"137",1372,"B03002_004",0,723.809608456084,0,0,0,0
"138",1380,"B03002_004",0,862.930069213069,0,0,0,0
"139",1381,"B03002_004",0,392.585069997242,0,0,0,0
"140",1382,"B03002_004",0,220.785178684037,0,0,0,0
"141",1469,"B03002_004",0,776.199022181993,0,0,0,0
"142",1470,"B03002_004",0,220.785178684019,0,0,0,0
"143",1544,"B03002_004",0,634.380897562953,0,0,0,0
"144",1578,"B03002_004",0,107.71467598765,0,0,0,0
"145",1670,"B03002_004",0,298.189147913903,0,0,0,0
"146",1671,"B03002_004",0,79.3464317115505,0,0,0,0
"147",1946,"B03002_004",0,226.3932211006,0,0,0,0
"148",1947,"B03002_004",0,226.393221100543,0,0,0,0
"149",2034,"B03002_004",0,1302.35717275498,0,0,0,0
"150",2047,"B03002_004",0,226.924710838873,0,0,0,0
"151",2048,"B03002_004",0,226.393221100562,0,0,0,0
"152",2049,"B03002_004",0,226.3932211006,0,0,0,0
"153",2151,"B03002_004",0,585.302331126264,0,0,0,0
"154",2152,"B03002_004",0,561.136679974081,0,0,0,0
"155",2153,"B03002_004",0,537.218548444425,0,0,0,0
"156",2154,"B03002_004",0,502.696780678455,0,0,0,0
"157",2155,"B03002_004",0,470.178571690492,0,0,0,0
"158",2156,"B03002_004",0,470.178571690571,0,0,0,0
"159",2157,"B03002_004",0,202.347573787259,0,0,0,0
"160",2158,"B03002_004",0,185.355563941443,0,0,0,0
"161",2159,"B03002_004",0,185.355563941443,0,0,0,0
"162",2160,"B03002_004",0,184.229998066244,0,0,0,0
"163",2161,"B03002_004",0,60.7059611153041,0,0,0,0
"164",2262,"B03002_004",0,544.941928053361,0,0,0,0
"165",2263,"B03002_004",0,630.003088088507,0,0,0,0
"166",2264,"B03002_004",0,630.003088088559,0,0,0,0
"167",2265,"B03002_004",0,630.003088088665,0,0,0,0
"168",2266,"B03002_004",0,289.003075934341,0,0,0,0
"169",2267,"B03002_004",0,230.129589993174,0,0,0,0
"170",2268,"B03002_004",0,195.051724908638,0,0,0,0
"171",2269,"B03002_004",0,127.839109248665,0,0,0,0
"172",2270,"B03002_004",0,135.667999459293,0,0,0,0
"173",2271,"B03002_004",0,143.496889670039,0,0,0,0
"174",2272,"B03002_004",0,99.3192144742734,0,0,0,0
"175",2362,"B03002_004",0,576.374691803742,0,0,0,0
"176",2363,"B03002_004",0,717.772125774491,0,0,0,0
"177",2378,"B03002_004",0,630.003088088665,0,0,0,0
