"GEOID","X","Y"
"302",-95.1931597087321,29.5734780292589
"313",-95.1203509445474,29.5713857089152
"314",-95.1137321143125,29.5711935331275
"315",-95.107113308982,29.571001029873
"331",-95.4397912906657,29.5878484110622
"349",-95.2293803177358,29.5795203256806
"350",-95.2227607585572,29.5793335444078
"351",-95.2161412235891,29.579146435623
"352",-95.2095217128738,29.5789589993282
"353",-95.2029022264536,29.5787712355249
"354",-95.1962827643707,29.5785831442151
"355",-95.1896633266675,29.5783947254004
"384",-95.4495475178276,29.5927300714694
"385",-95.4438446254279,29.5913084874071
"405",-95.2325053667166,29.5846245879424
"406",-95.2258854712914,29.5844379614892
"407",-95.2192656000592,29.5842510075075
"408",-95.2126457530622,29.5840637259991
"409",-95.2060259303427,29.5838761169658
"410",-95.199406131943,29.5836881804092
"411",-95.1927863579053,29.5834999163312
"441",-95.4595562206089,29.597717251959
"442",-95.4537337847984,29.5963159581051
"443",-95.4474906535296,29.5955229089087
"444",-95.4408696705588,29.5953469196424
"466",-95.2422509836263,29.5899149153772
"467",-95.2356307277969,29.5897287713072
"468",-95.2290104961005,29.5895422996903
"469",-95.2223902885794,29.5893555005284
"470",-95.2157701052759,29.5891683738231
"471",-95.2091499462324,29.5889809195764
"472",-95.2025298114911,29.5887931377898
"473",-95.1959097010944,29.5886050284652
"504",-95.4695531134647,29.6026718717983
"505",-95.4636272888456,29.601359191276
"506",-95.4572484203532,29.6007975555486
"507",-95.4506270788917,29.6006220492829
"508",-95.4440057601915,29.6004462153994
"509",-95.437384464295,29.6002700538998
"510",-95.4307631912444,29.6000935647857
"511",-95.4241419410822,29.5999167480587
"512",-95.4175207138506,29.5997396037205
"513",-95.4108995095919,29.5995621317729
"514",-95.4042783283486,29.5993843322174
"539",-95.2387564010189,29.5948328757234
"540",-95.2321358330265,29.5946465589595
"541",-95.2255152891919,29.5944599146341
"542",-95.2188947695573,29.5942729427487
"543",-95.2122742741651,29.5940856433052
"544",-95.2056538030575,29.5938980163054
"545",-95.1990333562769,29.5937100617509
"577",-95.4852919225516,29.609075247977
"578",-95.479528570458,29.6076431662245
"579",-95.4735293025289,29.6064026157882
"580",-95.4670071943214,29.6060714841871
"581",-95.4603854944227,29.6058964609733
"582",-95.4537638172251,29.6057211101236
"583",-95.4471421627711,29.6055454316395
"584",-95.4405205311028,29.6053694255228
"585",-95.4338989222628,29.605193091775
"586",-95.4272773362932,29.6050164303978
"587",-95.4206557732365,29.6048394413929
"588",-95.414034233135,29.604662124762
"589",-95.407412716031,29.6044844805068
"590",-95.4007912219668,29.6043065086288
"591",-95.3941697509848,29.6041282091298
"592",-95.3875483031273,29.6039495820114
"593",-95.3809268784366,29.6037706272753
"594",-95.3743054769551,29.6035913449233
"595",-95.367684098725,29.6034117349569
"614",-95.241882386425,29.5999369011395
"615",-95.235261482112,29.5997507392454
"616",-95.2286406019391,29.5995642497731
"617",-95.2220197459486,29.5993774327243
"618",-95.215398914183,29.5991902881008
"619",-95.2087781066844,29.5990028159044
"620",-95.2021573234951,29.5988150161367
"653",-95.4953001423478,29.6140094795918
"654",-95.4894357338351,29.6126954676419
"655",-95.4833890563355,29.6115189071264
"656",-95.4767669754544,29.6113446946716
"657",-95.4701449171719,29.6111701545611
"658",-95.4635228815305,29.6109952867964
"659",-95.4569008685723,29.6108200913792
"660",-95.4502788783399,29.6106445683112
"661",-95.4436569108754,29.6104687175939
"662",-95.4370349662213,29.6102925392292
"663",-95.4304130444199,29.6101160332185
"664",-95.4237911455136,29.6099391995635
"665",-95.4171692695446,29.6097620382661
"666",-95.4105474165554,29.6095845493276
"667",-95.4039255865882,29.60940673275
"668",-95.3973037796854,29.6092285885348
"669",-95.3906819958894,29.6090501166836
"670",-95.3840602352424,29.6088713171983
"671",-95.3774384977868,29.6086921900804
